datetime_utc,values
2016-07-05,33.693454753880424
2016-07-06,33.685667142853994
2016-07-07,33.67362859601671
2016-07-08,33.66012009963766
2016-07-09,33.64241723962845
2016-07-10,33.623230569940546
2016-07-11,33.59990871885971
2016-07-12,33.575093667649675
2016-07-13,33.54620520649996
2016-07-14,33.51581855240922
2016-07-15,33.48142282324584
2016-07-16,33.44552823027709
2016-07-17,33.40569142985146
2016-07-18,33.364359337437115
2016-07-19,33.319154402506044
2016-07-20,33.27246190731592
2016-07-21,33.22196839179829
2016-07-22,33.16999912147365
2016-07-23,33.11430306564594
2016-07-24,33.057147044656595
2016-07-25,32.9963408365883
2016-07-26,32.93409434441878
2016-07-27,32.86827657385788
2016-07-28,32.80104199573757
2016-07-29,32.730317300664865
2016-07-30,32.65820297106574
