datetime_utc,values
2016-07-05,33.813110358379795
2016-07-06,33.82909271670745
2016-07-07,33.780438883208426
2016-07-08,33.79099685561051
2016-07-09,33.73695706442078
2016-07-10,33.742142875627216
2016-07-11,33.68277262286655
2016-07-12,33.68264502040873
2016-07-13,33.618006272927765
2016-07-14,33.61263042107736
2016-07-15,33.54279150658059
2016-07-16,33.53223887270073
2016-07-17,33.457274362370946
2016-07-18,33.44162259586023
2016-07-19,33.36161317966944
2016-07-20,33.340945983688016
2016-07-21,33.25597833858796
2016-07-22,33.23038533476279
2016-07-23,33.14055198595635
2016-07-24,33.110128572271066
2016-07-25,33.01552774777363
2016-07-26,32.98037494985556
2016-07-27,32.88111042856285
2016-07-28,32.841334744587456
2016-07-29,32.73751569807334
2016-07-30,32.693228937513105
